baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G28980	44.8981615842042	1.70181300004082	0.398572000123599	4.26977559766636	1.95669734150138e-05	0.000729063705480999
AT1G28990	42.3151034069946	1.191569369213	0.318016168519392	3.74688298007194	0.000179045559124999	0.00455220643009793
AT1G30530	3590.98164752071	1.12109599704157	0.108774378027174	10.3066183174267	6.57751622906311e-25	5.21555927488273e-22
AT1G32720	24.5349875088796	-1.51591334918963	0.468404687555774	-3.23633257621728	0.00121076228708426	0.0209134664890919
AT1G33020	675.650123116905	-1.15628814213177	0.381776120846282	-3.02870734704052	0.00245602473247932	0.0358318874666186
AT1G35630	7.44089219943014	-2.98175786677413	0.899591126928541	-3.31457011693156	0.000917841573824575	0.016779043295551
AT1G42550	15438.5014492966	1.53829853351568	0.324870444585226	4.7351138250809	2.1893219363003e-06	0.000109786274331391
AT1G07143	14974.8934648353	-1.26603844783569	0.330365493305277	-3.83223573130805	0.000126983974359571	0.00343873144653121
AT1G43800	5353.91647316527	-1.3306219267252	0.418878425946758	-3.1766303640912	0.0014899680734744	0.024539275755744
AT1G48100	158.557678724826	2.28276711896617	0.465525219276678	4.90363792215828	9.40778321513986e-07	5.32841721653926e-05
AT1G07493	45.7446521331989	-1.1027581978624	0.35371463109665	-3.11764937300848	0.00182299540962801	0.0283262005657692
AT1G48745	214.454116547712	1.20761931194347	0.260491522866047	4.63592557123047	3.55343820253918e-06	0.000168218173416472
AT1G49210	23.8705305790662	-1.46678635967648	0.486037032188978	-3.01784897556154	0.00254575739586181	0.0368278495795881
AT1G49660	5901.7037445331	1.55784499644715	0.244385268668157	6.37454542549573	1.83506420897562e-10	2.61827591171142e-08
AT1G50250	27006.5982504313	1.23655147639208	0.31023980306488	3.98579248754063	6.72552720720298e-05	0.00204665852593151
AT1G51035	18.3658344444955	2.28031838183709	0.648931949725876	3.51395609786257	0.000441485772476693	0.00948134108468787
AT1G51780	877.874889188238	-1.63113162289568	0.387148700873755	-4.21319151843822	2.51787390629732e-05	0.000901107651599269
AT1G51810	112.548558556262	-1.84047056000049	0.493561772397081	-3.72895686605119	0.000192274057408155	0.0048324295232352
AT1G07767	15.0243841138397	-2.3383454534596	0.747824193338385	-3.12686521015176	0.00176680910593713	0.0277248078256331
AT1G51840	643.992024603142	1.23673472961979	0.398905199846802	3.10032240766667	0.00193310098378661	0.0296125543104296
AT1G52100	2716.38465365824	1.66576934949311	0.443126690315926	3.75912664684113	0.000170507515521186	0.0043613484867284
